customer_id,transaction_date,amount,credit
CUST_564,2021-11-21,9.92,14.19
CUST_897,2023-12-15,17.83,32.47
CUST_339,2021-02-04,52.75,14.64
CUST_91,2021-04-15,30.86,39.99
CUST_366,2020-08-05,16.62,47.69
CUST_955,2022-07-17,7.89,12.87
CUST_454,2021-09-23,13.25,27.85
CUST_427,2022-08-08,9.94,35.05
CUST_508,2022-06-24,7.98,17.34
CUST_775,2020-06-23,29.75,26.41
CUST_942,2020-01-23,20.72,27.11
CUST_34,2020-08-22,49.28,54.86
CUST_205,2022-11-02,12.2,7.5
CUST_80,2023-01-29,20.06,19.53
CUST_931,2022-07-17,10.0,10.75
CUST_561,2021-06-06,14.92,20.22
CUST_871,2021-03-06,17.97,13.58
CUST_387,2022-03-03,16.65,17.68
CUST_1,2021-06-16,20.63,12.97
CUST_389,2022-09-05,32.65,21.71
CUST_565,2023-08-09,30.98,34.36
CUST_105,2022-03-20,13.67,16.67
CUST_771,2022-07-01,19.78,41.07
CUST_821,2023-01-29,29.88,33.85
CUST_476,2023-08-20,33.71,55.54
CUST_702,2022-05-20,14.43,24.67
CUST_401,2021-06-23,28.62,19.48
CUST_729,2022-10-20,23.7,9.09
CUST_555,2023-10-10,11.79,13.59
CUST_161,2023-08-19,29.97,18.1
CUST_201,2020-08-14,21.67,19.21
CUST_957,2023-06-13,8.41,65.0
CUST_995,2022-05-22,17.34,18.11
CUST_269,2022-06-10,20.49,8.3
CUST_862,2022-11-02,14.84,28.0
CUST_815,2020-07-28,37.12,27.2
CUST_270,2022-01-10,37.8,15.97
CUST_455,2021-01-31,16.59,58.2
CUST_461,2023-01-28,15.7,7.78
CUST_726,2020-01-31,18.81,37.51
CUST_251,2022-06-16,18.17,17.36
CUST_701,2021-10-10,14.94,12.49
CUST_295,2020-11-24,3.14,66.7
CUST_724,2023-04-04,48.3,29.03
CUST_719,2022-08-09,20.09,17.3
CUST_748,2023-01-28,18.37,17.13
CUST_337,2021-09-12,23.63,23.05
CUST_878,2023-04-11,19.3,15.94
CUST_52,2020-06-10,16.2,38.47
CUST_791,2022-02-14,12.15,20.99
CUST_921,2023-07-10,8.01,33.41
CUST_216,2020-09-30,10.2,22.29
CUST_763,2022-10-23,11.49,31.03
CUST_187,2022-11-17,27.81,39.36
CUST_379,2020-11-21,28.86,46.55
CUST_492,2022-07-28,12.92,25.67
CUST_40,2023-03-18,5.3,13.02
CUST_156,2021-06-23,20.18,18.43
CUST_14,2021-05-02,16.27,19.82
CUST_812,2022-04-01,16.07,15.08
CUST_64,2022-12-24,32.39,13.87
CUST_856,2020-12-21,21.53,21.92
CUST_838,2023-06-29,12.33,12.28
CUST_520,2020-08-22,10.99,11.15
CUST_343,2020-08-14,17.61,8.61
CUST_128,2023-08-29,12.77,25.54
CUST_647,2020-02-18,19.37,23.82
CUST_471,2020-04-27,33.55,17.08
CUST_62,2020-02-23,10.08,33.02
CUST_138,2021-07-18,20.99,12.19
CUST_498,2022-12-03,31.74,24.3
CUST_592,2020-02-22,19.24,20.64
CUST_391,2021-07-11,28.81,13.87
CUST_674,2023-01-30,17.4,15.7
CUST_418,2022-05-17,21.88,15.11
CUST_288,2021-02-01,25.04,22.79
CUST_378,2023-03-07,15.09,27.02
CUST_772,2021-11-05,54.34,16.23
CUST_489,2021-01-21,26.81,14.07
CUST_230,2020-04-20,38.53,21.51
CUST_40,2021-09-05,34.31,8.79
CUST_27,2020-01-17,23.66,20.43
CUST_134,2023-04-20,40.16,43.85
CUST_200,2022-06-02,22.06,14.13
CUST_839,2021-06-24,13.94,18.39
CUST_779,2020-06-19,20.23,33.52
CUST_929,2021-02-12,12.14,29.29
CUST_32,2022-01-09,7.02,20.72
CUST_47,2023-11-02,13.11,19.51
CUST_502,2023-04-26,20.83,10.83
CUST_406,2022-05-07,34.16,25.68
CUST_573,2020-08-17,13.1,10.26
CUST_727,2020-04-28,33.28,7.15
CUST_804,2023-03-25,10.96,33.25
CUST_98,2022-02-22,12.68,24.37
CUST_683,2021-04-09,41.45,31.18
CUST_871,2020-04-13,20.57,13.9
CUST_725,2021-11-28,18.42,25.36
CUST_986,2020-06-23,22.59,16.13
CUST_546,2022-01-14,10.99,17.05
CUST_960,2023-12-15,17.02,32.68
CUST_738,2023-03-03,20.11,18.64
CUST_612,2023-11-15,37.18,14.18
CUST_942,2021-10-26,8.71,10.15
CUST_461,2020-02-02,48.5,24.06
CUST_642,2020-02-24,18.87,34.12
CUST_768,2021-06-02,11.53,13.58
CUST_4,2022-01-25,10.53,28.35
CUST_217,2020-01-12,23.02,12.54
CUST_502,2021-12-20,10.24,29.21
CUST_766,2021-07-08,15.18,20.42
CUST_397,2021-01-07,17.73,22.96
CUST_870,2021-04-28,35.58,14.17
CUST_794,2022-08-30,33.42,24.02
CUST_392,2023-06-05,14.56,14.9
CUST_206,2021-09-14,18.06,16.33
CUST_14,2020-11-02,9.05,9.4
CUST_857,2021-04-01,7.25,13.65
CUST_553,2020-06-08,10.86,15.44
CUST_891,2020-11-26,35.22,23.49
CUST_460,2022-02-14,29.67,27.05
CUST_690,2020-08-12,24.33,14.82
CUST_574,2022-09-09,9.69,18.5
CUST_863,2021-12-29,14.07,46.67
CUST_742,2022-12-04,13.08,21.45
CUST_240,2023-05-22,18.49,15.36
CUST_563,2022-12-18,17.91,8.67
CUST_95,2021-10-05,12.17,13.11
CUST_899,2021-09-07,23.92,12.85
CUST_733,2020-07-13,22.52,54.0
CUST_484,2021-05-03,13.95,13.14
CUST_406,2020-06-05,23.39,20.6
CUST_230,2021-09-01,35.24,24.18
CUST_748,2023-06-03,41.02,34.93
CUST_654,2021-02-15,25.67,20.17
CUST_170,2023-05-13,25.3,15.56
CUST_540,2023-01-07,17.81,15.06
CUST_35,2023-02-21,33.61,24.0
CUST_524,2021-04-15,11.76,14.27
CUST_159,2023-05-26,31.72,11.56
CUST_838,2021-05-30,17.4,15.56
CUST_698,2023-02-01,42.33,10.36
CUST_242,2021-01-27,26.95,50.67
CUST_85,2021-09-22,19.42,27.07
CUST_795,2021-08-30,17.85,45.17
CUST_577,2022-09-06,26.12,25.6
CUST_681,2021-03-09,25.5,43.05
CUST_556,2023-09-16,16.46,24.14
CUST_573,2023-03-12,21.03,28.88
CUST_952,2021-06-23,31.44,6.91
CUST_645,2020-10-04,10.16,12.72
CUST_795,2020-08-20,28.87,20.46
CUST_27,2023-01-18,26.07,20.71
CUST_619,2023-05-07,36.35,19.33
CUST_555,2020-12-27,14.04,25.19
CUST_339,2020-01-26,20.14,25.72
CUST_797,2022-11-14,22.25,30.96
CUST_957,2023-11-18,29.06,28.06
CUST_330,2021-05-21,24.89,36.67
CUST_639,2023-08-17,10.81,36.82
CUST_505,2023-09-24,23.23,21.92
CUST_347,2020-09-23,54.71,56.87
CUST_472,2021-04-05,27.27,39.63
CUST_230,2021-03-31,45.56,13.42
CUST_189,2023-10-15,33.84,24.44
CUST_224,2022-12-27,39.69,7.99
CUST_384,2022-10-03,23.45,8.7
CUST_376,2022-05-12,26.07,15.65
CUST_282,2023-12-06,22.82,12.97
CUST_957,2021-05-05,20.13,15.69
CUST_632,2022-12-08,29.11,23.67
CUST_627,2021-07-17,15.48,37.06
CUST_972,2023-01-30,51.56,36.08
CUST_744,2020-08-03,12.63,24.69
CUST_258,2021-07-12,30.14,11.66
CUST_358,2020-06-07,40.02,15.2
CUST_709,2021-05-03,18.39,27.62
CUST_455,2021-11-16,11.51,13.29
CUST_410,2023-06-19,35.79,10.66
CUST_648,2022-03-04,22.24,25.69
CUST_317,2020-01-05,30.16,19.61
CUST_676,2020-12-26,19.02,18.08
CUST_224,2021-04-03,47.75,34.98
CUST_818,2020-09-04,6.97,34.62
CUST_233,2022-08-03,24.24,48.94
CUST_683,2021-02-25,39.29,14.5
CUST_663,2020-01-15,21.17,24.9
CUST_974,2022-01-05,23.36,20.28
CUST_826,2023-02-19,16.17,23.79
CUST_373,2020-10-03,20.29,11.39
CUST_671,2021-03-28,8.71,9.96
CUST_607,2023-11-14,14.02,19.69
CUST_471,2023-08-10,13.55,13.18
CUST_232,2021-08-20,28.07,32.11
CUST_691,2021-03-21,15.09,9.48
CUST_112,2020-07-28,15.31,9.88
CUST_829,2021-12-14,16.63,16.31
CUST_496,2020-10-28,13.81,9.31
CUST_441,2023-05-31,22.98,46.43
CUST_563,2020-01-03,24.26,18.33
CUST_267,2022-09-16,30.34,14.86
CUST_509,2023-01-21,27.84,25.38
CUST_806,2021-06-03,26.48,31.25
CUST_385,2023-12-22,17.04,22.28
CUST_386,2021-05-07,16.5,19.41
CUST_112,2023-06-12,12.99,12.28
CUST_612,2021-09-11,12.88,27.53
CUST_624,2023-03-30,22.13,40.79
CUST_951,2020-11-26,14.02,18.0
CUST_80,2020-11-28,41.85,13.14
CUST_698,2020-02-19,19.71,21.99
CUST_112,2022-05-12,42.55,20.11
CUST_1,2020-09-28,26.73,10.93
CUST_641,2021-08-02,13.62,15.62
CUST_219,2023-06-29,19.47,49.12
CUST_565,2021-07-13,8.7,10.24
CUST_854,2021-11-26,22.09,14.22
CUST_996,2023-01-18,14.26,12.5
CUST_735,2021-03-21,11.51,13.06
CUST_224,2022-10-13,42.99,16.07
CUST_384,2023-09-17,33.63,25.13
CUST_402,2023-03-08,33.17,38.64
CUST_637,2020-12-22,29.7,22.23
CUST_129,2020-09-30,10.83,14.27
CUST_52,2022-11-08,16.44,43.38
CUST_683,2020-11-06,16.95,7.14
CUST_729,2022-05-19,8.54,28.13
CUST_671,2022-06-04,15.2,12.02
CUST_709,2020-06-02,15.29,19.58
CUST_415,2023-11-14,21.39,26.62
CUST_246,2023-07-07,71.25,9.0
CUST_835,2021-09-11,19.88,21.56
CUST_438,2022-06-01,21.4,22.4
CUST_202,2022-03-07,17.72,41.73
CUST_183,2020-05-04,29.05,78.07
CUST_122,2023-10-09,11.74,9.24
CUST_400,2023-07-20,51.83,40.8
CUST_766,2021-09-10,18.88,19.71
CUST_293,2020-09-01,16.48,13.41
CUST_279,2022-04-27,32.62,24.16
CUST_836,2021-03-25,12.87,10.47
CUST_883,2022-07-18,28.78,10.79
CUST_609,2023-06-24,40.55,8.44
CUST_197,2021-06-03,17.8,26.39
CUST_981,2023-03-10,56.06,23.65
CUST_906,2020-12-27,27.72,13.37
CUST_510,2020-01-08,27.89,43.03
CUST_751,2021-04-22,39.76,14.42
CUST_143,2023-10-07,45.39,38.15
CUST_608,2021-05-09,22.9,21.35
CUST_200,2022-04-12,29.92,14.32
CUST_123,2023-12-21,40.37,18.96
CUST_186,2022-11-28,11.24,10.73
CUST_325,2021-08-15,8.46,22.38
CUST_463,2020-07-05,19.52,20.39
CUST_348,2022-01-23,8.36,26.15
CUST_770,2020-04-02,17.17,31.17
CUST_659,2020-03-26,23.5,21.28
CUST_763,2022-12-03,17.5,9.6
CUST_954,2020-05-16,18.71,32.01
CUST_931,2021-02-24,12.17,20.23
CUST_402,2020-03-14,29.79,7.79
CUST_345,2023-03-25,11.8,23.45
CUST_962,2023-07-02,7.02,24.35
CUST_510,2020-06-19,18.11,16.79
CUST_146,2020-06-18,31.74,18.19
CUST_147,2022-05-21,20.9,14.92
CUST_863,2020-11-17,11.22,24.73
CUST_710,2021-03-31,21.14,21.54
CUST_819,2022-08-01,25.01,12.75
CUST_488,2022-02-28,21.01,45.1
CUST_928,2021-09-04,17.6,14.4
CUST_935,2023-03-24,25.61,5.19
CUST_639,2022-06-07,8.42,15.87
CUST_550,2020-12-14,12.85,33.63
CUST_337,2023-04-11,10.46,18.11
CUST_871,2020-01-10,39.42,8.87
CUST_640,2022-01-09,28.67,12.01
CUST_778,2023-07-12,22.03,11.7
CUST_987,2023-06-24,9.72,15.06
CUST_952,2021-10-28,29.14,17.62
CUST_472,2021-06-29,40.18,25.71
CUST_945,2020-05-08,26.73,21.42
CUST_150,2021-08-23,19.74,21.94
CUST_414,2021-08-27,27.55,48.9
CUST_989,2020-11-22,23.02,30.89
CUST_297,2022-09-06,31.91,29.56
CUST_610,2021-02-07,31.56,8.11
CUST_262,2021-09-20,17.98,13.79
CUST_763,2023-10-14,14.44,9.04
CUST_143,2021-12-18,16.45,13.67
CUST_345,2022-11-06,26.26,29.89
CUST_623,2020-09-30,16.95,16.5
CUST_571,2021-11-15,13.8,34.34
CUST_880,2020-04-25,20.08,28.41
CUST_1,2022-05-10,34.94,20.6
CUST_896,2021-11-23,21.49,34.74
CUST_303,2023-01-19,17.49,39.73
CUST_253,2023-01-10,23.58,25.21
CUST_651,2020-11-19,20.95,22.53
CUST_452,2022-08-18,7.64,27.57
CUST_36,2020-04-23,28.46,9.94
CUST_159,2022-12-17,24.62,18.94
CUST_8,2020-06-02,20.25,19.85
CUST_232,2023-11-28,34.16,16.7
CUST_98,2023-07-13,36.84,13.53
CUST_658,2020-11-10,29.95,33.08
CUST_815,2022-11-30,13.13,21.87
CUST_207,2020-04-14,13.36,22.89
CUST_130,2023-05-01,35.12,40.95
CUST_403,2023-11-25,7.86,18.22
CUST_151,2023-07-25,18.64,16.54
CUST_53,2020-12-19,25.03,39.67
CUST_119,2022-10-12,8.37,9.53
CUST_672,2022-01-02,22.58,20.61
CUST_919,2021-12-09,32.37,13.89
CUST_627,2023-07-03,9.56,23.25
CUST_586,2021-10-12,46.02,26.74
CUST_624,2022-04-03,12.12,27.49
CUST_967,2022-08-04,26.77,33.55
CUST_419,2021-10-22,19.26,17.7
CUST_421,2020-04-08,20.8,18.26
CUST_103,2021-08-10,10.57,26.14
CUST_851,2020-10-08,37.72,31.3
CUST_253,2021-02-06,23.64,10.48
CUST_226,2023-02-06,45.17,23.5
CUST_111,2021-11-30,10.71,16.48
CUST_509,2020-07-17,18.35,20.98
CUST_472,2023-08-19,22.3,16.8
CUST_98,2020-11-22,20.7,13.99
CUST_152,2020-06-02,28.03,12.07
CUST_860,2021-07-05,18.23,18.62
CUST_913,2021-02-08,58.03,24.03
CUST_895,2021-04-06,20.49,14.86
CUST_877,2020-05-11,4.75,36.41
CUST_337,2022-03-01,20.95,68.66
CUST_705,2022-05-23,37.74,24.69
CUST_821,2020-03-24,12.66,19.68
CUST_162,2023-11-23,12.26,12.73
CUST_719,2022-01-23,13.19,24.17
CUST_956,2021-09-19,11.73,42.04
CUST_680,2023-02-06,15.8,53.21
CUST_995,2020-08-08,31.65,40.37
CUST_160,2021-07-06,43.08,30.62
CUST_579,2023-10-23,5.98,24.66
CUST_800,2023-03-16,16.62,11.89
CUST_397,2020-04-21,23.37,19.11
CUST_276,2021-09-06,22.23,18.03
CUST_815,2022-07-12,51.93,19.17
CUST_915,2021-04-19,7.35,14.02
CUST_503,2022-04-15,5.5,29.34
CUST_895,2020-09-27,56.32,17.52
CUST_391,2021-02-24,29.27,16.82
CUST_134,2021-12-07,15.09,14.04
CUST_194,2023-10-22,21.88,22.56
CUST_400,2023-07-27,22.68,42.45
CUST_639,2023-07-30,14.91,19.98
CUST_32,2020-02-09,21.56,23.12
CUST_687,2020-07-07,23.98,52.86
CUST_459,2023-04-02,55.02,36.66
CUST_954,2022-09-20,32.52,26.95
CUST_882,2021-06-19,47.93,26.39
CUST_469,2022-10-24,10.26,14.86
CUST_374,2020-10-16,16.88,14.15
CUST_21,2021-03-08,22.67,21.56
CUST_749,2021-04-15,7.69,21.83
CUST_669,2023-04-19,36.27,13.13
CUST_37,2023-06-25,27.69,28.55
CUST_229,2021-09-19,16.72,17.49
CUST_364,2020-10-05,18.33,35.29
CUST_562,2022-05-26,37.6,19.54
CUST_437,2021-08-03,13.49,18.69
CUST_775,2022-05-12,38.36,12.57
CUST_282,2020-09-10,17.71,13.28
CUST_26,2020-06-29,29.31,38.82
CUST_225,2021-11-11,20.98,22.98
CUST_276,2022-04-04,61.35,24.4
CUST_797,2021-11-30,12.89,44.72
CUST_608,2021-07-19,15.08,10.39
CUST_283,2023-09-11,9.46,28.1
CUST_878,2023-10-12,11.61,9.08
CUST_959,2021-11-10,28.69,16.14
CUST_480,2021-01-25,44.7,11.33
CUST_452,2023-01-13,30.36,30.85
CUST_828,2023-09-02,20.03,7.81
CUST_815,2020-07-30,12.85,17.9
CUST_658,2021-01-18,31.48,11.25
CUST_515,2020-12-07,12.5,13.1
CUST_546,2022-04-23,10.23,14.15
CUST_191,2022-11-27,17.21,38.84
CUST_48,2021-02-23,7.26,16.99
CUST_511,2022-01-20,10.07,47.64
CUST_16,2023-04-07,51.57,52.89
CUST_171,2023-09-28,9.18,57.79
CUST_219,2020-11-01,11.09,19.5
CUST_157,2021-12-02,20.82,22.31
CUST_476,2022-05-18,21.37,24.26
CUST_45,2021-06-20,17.86,16.71
CUST_372,2023-02-09,7.38,24.83
CUST_517,2023-12-05,30.7,12.58
CUST_98,2020-07-24,16.09,7.86
CUST_891,2023-04-23,36.97,28.7
CUST_744,2023-11-06,14.55,16.86
CUST_36,2021-05-10,32.83,12.33
CUST_279,2023-11-03,38.4,13.13
CUST_348,2022-12-06,15.9,42.84
CUST_496,2021-05-18,31.19,25.33
CUST_301,2022-11-11,10.34,9.38
CUST_180,2020-07-31,22.92,11.1
CUST_606,2020-11-05,37.01,17.36
CUST_98,2021-10-22,26.03,25.49
CUST_699,2022-01-22,66.89,13.5
CUST_992,2020-09-28,26.77,18.42
CUST_115,2022-07-26,16.73,21.27
CUST_190,2023-05-10,83.13,21.49
CUST_252,2020-02-01,45.46,6.06
CUST_980,2021-03-18,9.01,22.44
CUST_927,2020-06-10,13.57,8.44
CUST_982,2022-02-05,11.95,17.41
CUST_160,2020-09-10,27.74,15.63
CUST_255,2021-06-04,26.72,11.71
CUST_322,2022-09-03,26.62,30.62
CUST_127,2020-01-10,8.89,11.45
CUST_17,2021-12-26,14.6,15.46
CUST_792,2021-05-19,18.64,31.17
CUST_734,2022-02-23,8.08,15.24
CUST_565,2021-03-11,12.99,13.75
CUST_569,2023-02-08,39.58,17.57
CUST_322,2020-06-01,9.23,26.32
CUST_871,2022-07-05,41.58,41.39
CUST_685,2022-05-18,34.66,12.58
CUST_791,2023-01-30,17.37,13.1
CUST_625,2022-01-22,14.52,17.49
CUST_287,2023-04-29,30.44,22.54
CUST_942,2021-07-16,13.55,13.67
CUST_853,2023-01-09,13.89,28.34
CUST_662,2021-05-03,19.85,12.7
CUST_961,2022-06-13,6.92,7.76
CUST_638,2023-01-16,9.73,26.2
CUST_154,2023-05-02,17.15,27.77
CUST_489,2020-04-13,25.48,33.86
CUST_385,2023-01-24,13.45,7.42
CUST_985,2023-12-17,18.2,14.4
CUST_784,2023-05-06,8.96,17.72
CUST_103,2022-10-21,32.02,48.35
CUST_928,2022-10-03,22.42,18.55
CUST_392,2021-02-10,23.44,10.24
CUST_810,2023-11-02,25.64,23.3
CUST_245,2020-06-15,20.89,38.66
CUST_175,2021-05-23,15.77,34.75
CUST_38,2020-11-08,35.33,26.6
CUST_476,2023-12-12,21.72,22.9
CUST_681,2022-02-01,18.49,6.46
CUST_758,2021-11-11,20.0,20.34
CUST_537,2021-04-21,19.79,21.96
CUST_866,2020-03-13,18.4,18.54
CUST_817,2023-03-10,25.1,28.6
CUST_920,2021-08-04,12.58,18.39
CUST_407,2020-09-18,13.05,16.71
CUST_524,2023-09-25,26.57,33.77
CUST_827,2023-08-24,18.68,16.33
CUST_505,2020-09-01,32.65,20.75
CUST_902,2023-09-22,24.64,31.46
CUST_824,2021-07-14,15.24,12.12
CUST_35,2023-01-04,26.78,11.48
CUST_684,2020-06-23,36.55,39.61
CUST_19,2020-04-18,25.12,14.93
CUST_320,2020-07-01,28.02,28.4
CUST_775,2020-07-10,18.43,8.27
CUST_511,2020-03-05,33.0,5.75
CUST_399,2022-08-20,15.02,24.1
CUST_653,2023-01-28,23.79,18.84
CUST_971,2022-05-13,72.58,24.21
CUST_882,2023-02-25,26.3,51.28
CUST_470,2021-01-03,16.28,10.82
CUST_142,2022-04-30,16.25,20.47
CUST_91,2020-02-12,19.38,42.04
CUST_353,2023-12-13,30.74,11.63
CUST_833,2021-05-02,21.6,14.99
CUST_799,2020-03-18,14.52,8.3
CUST_726,2022-04-05,14.51,61.49
CUST_958,2023-07-17,21.67,6.67
CUST_853,2021-11-04,20.52,29.94
CUST_50,2021-12-01,25.22,10.38
CUST_664,2022-01-28,31.78,11.88
CUST_697,2021-12-28,78.55,34.19
CUST_574,2023-08-31,9.67,13.86
CUST_189,2022-07-13,28.32,27.82
CUST_124,2022-06-20,21.1,40.05
CUST_149,2022-06-07,7.99,22.21
CUST_313,2022-09-19,37.52,31.33
CUST_569,2023-04-06,24.79,20.91
CUST_341,2020-12-04,29.96,21.4
CUST_304,2020-07-11,8.59,14.62
CUST_691,2020-10-09,17.99,52.69
CUST_681,2023-09-21,11.71,29.12
CUST_837,2021-01-24,59.24,26.07
CUST_782,2022-09-26,35.6,29.52
CUST_53,2021-06-08,14.29,14.32
CUST_443,2023-06-17,9.32,31.99
CUST_612,2021-10-20,22.13,43.73
CUST_992,2021-12-16,34.68,10.07
CUST_263,2022-06-09,8.44,26.33
CUST_52,2023-01-17,12.61,20.73
CUST_571,2023-01-23,11.56,15.49
CUST_619,2021-03-27,30.98,11.63
CUST_4,2021-03-03,16.69,33.99
CUST_102,2023-03-20,17.05,22.29
CUST_195,2023-10-31,21.92,18.11
CUST_773,2022-11-11,12.95,26.34
CUST_876,2022-06-01,9.76,18.85
CUST_991,2020-11-08,39.84,14.13
CUST_883,2022-04-19,41.73,21.42
CUST_349,2021-06-02,21.97,19.81
CUST_46,2023-05-14,22.78,8.27
CUST_866,2021-01-09,37.73,14.66
CUST_822,2021-03-26,21.72,10.67
CUST_935,2022-10-11,16.29,8.8
CUST_819,2021-08-17,20.48,25.38
CUST_655,2023-04-17,40.31,14.38
CUST_268,2023-05-18,20.63,33.81
CUST_369,2021-05-14,14.37,8.05
CUST_635,2021-04-08,21.62,17.31
CUST_105,2023-02-21,27.89,14.76
CUST_669,2020-04-22,26.26,9.12
CUST_658,2022-11-01,26.48,20.14
CUST_656,2023-02-23,13.29,9.53
CUST_119,2020-11-26,29.52,22.45
CUST_830,2023-07-30,20.37,28.8
CUST_786,2020-05-19,14.07,22.96
CUST_603,2023-11-25,29.4,24.46
CUST_57,2022-06-20,16.01,33.64
CUST_950,2023-01-25,9.14,19.82
CUST_345,2021-05-31,12.18,13.29
CUST_740,2021-07-22,18.34,14.81
CUST_473,2022-04-25,26.82,14.97
CUST_116,2022-12-28,13.04,11.92
CUST_829,2020-04-27,17.81,29.73
CUST_790,2022-06-06,10.93,26.14
CUST_126,2022-12-18,32.82,8.74
CUST_392,2022-11-22,47.4,13.29
CUST_907,2023-09-03,44.91,11.63
CUST_640,2020-02-19,32.54,23.54
CUST_57,2020-01-19,30.92,34.41
CUST_633,2021-12-26,7.13,25.13
CUST_512,2020-07-15,21.95,14.15
CUST_750,2021-07-12,15.67,17.12
CUST_801,2021-03-27,31.19,10.01
CUST_95,2020-10-15,5.65,10.4
CUST_637,2023-03-10,22.12,30.66
CUST_117,2023-01-12,18.04,41.35
CUST_559,2021-01-25,35.14,14.05
CUST_600,2020-08-02,43.55,20.57
CUST_487,2020-08-02,12.62,28.8
CUST_236,2023-11-27,12.91,8.74
CUST_884,2020-05-07,22.54,11.89
CUST_896,2022-01-29,47.79,54.42
CUST_271,2021-02-07,20.7,12.44
CUST_188,2022-11-18,10.6,16.76
CUST_998,2020-12-03,14.84,14.86
CUST_703,2022-04-10,22.23,7.41
CUST_446,2021-12-14,22.65,20.93
CUST_580,2020-12-26,14.13,19.83
CUST_789,2021-07-22,14.69,21.99
CUST_860,2023-11-16,12.3,19.25
CUST_246,2020-08-05,35.54,15.96
CUST_962,2020-07-20,13.23,15.51
CUST_75,2020-01-17,15.92,15.64
CUST_153,2020-11-17,15.7,12.25
CUST_655,2021-06-01,9.0,13.24
CUST_434,2023-09-10,13.04,12.35
CUST_996,2023-12-06,37.12,26.75
CUST_85,2023-09-03,10.97,23.41
CUST_696,2021-11-11,12.41,20.36
CUST_284,2023-01-10,10.32,53.04
CUST_973,2021-02-28,19.2,12.64
CUST_219,2023-05-12,51.56,35.14
CUST_68,2022-10-15,18.8,17.64
CUST_46,2021-01-21,20.77,21.73
CUST_93,2022-02-16,13.49,28.09
CUST_749,2020-04-07,19.48,15.82
CUST_957,2023-09-30,37.13,11.84
CUST_452,2020-07-26,21.57,12.86
CUST_203,2021-08-08,58.32,7.01
CUST_911,2020-06-14,37.7,27.2
CUST_217,2020-01-22,19.24,26.88
CUST_473,2020-06-02,19.05,44.34
CUST_431,2023-08-11,45.4,24.72
CUST_340,2020-08-06,21.51,27.87
CUST_550,2021-10-30,40.63,19.28
CUST_611,2020-08-17,54.68,25.34
CUST_288,2020-01-20,18.14,34.63
CUST_253,2021-07-06,23.95,21.99
